V1,Average Value of bitstampUSD Buys
6/15/2014,646.3703053
6/16/2014,633.2820036
6/17/2014,629.4743666
6/18/2014,632.4674045
6/19/2014,625.1110637
6/20/2014,622.4767571
6/21/2014,622.8130653
6/22/2014,615.7253774
6/23/2014,626.2309506
6/24/2014,635.115264
6/25/2014,632.8420841
6/26/2014,622.7913806
6/27/2014,622.0432198
6/28/2014,618.0778854
6/29/2014,619.8437709
6/30/2014,625.6827852
7/1/2014,628.9904961
7/2/2014,624.2550263
7/3/2014,620.5682363
7/4/2014,622.4116437
7/5/2014,620.5377281
7/6/2014,605.4703525
7/7/2014,600.9376956
7/8/2014,594.8859988
7/9/2014,595.182531
7/10/2014,583.5532744
7/11/2014,583.6685121
7/12/2014,571.5905213
7/13/2014,574.1198949
7/14/2014,595.3762706
7/15/2014,592.1845552
7/16/2014,584.8125415
7/17/2014,587.9224496
7/18/2014,582.4395645
7/19/2014,581.2351281
7/20/2014,585.1733467
7/21/2014,590.4560121
7/22/2014,588.1732445
7/23/2014,590.4484668
7/24/2014,581.0081507
7/25/2014,568.0908541
7/26/2014,547.298302
7/27/2014,515.7105585
7/28/2014,503.2447354
7/29/2014,505.6080355
7/30/2014,501.2463732
7/31/2014,473.670281
8/1/2014,480.8775837
8/2/2014,499.2799879
8/3/2014,521.9161326
8/4/2014,514.558811
8/5/2014,501.7700144
8/6/2014,505.1395946
8/7/2014,502.9200142
8/8/2014,509.6151264
8/9/2014,516.5545
8/10/2014,510.0480561
8/11/2014,508.153872
8/12/2014,502.7905019
8/13/2014,485.7183623
8/14/2014,480.056012
8/15/2014,477.8231363
8/16/2014,475.2751195
8/17/2014,485.0866316
8/18/2014,482.1465419
8/19/2014,480.8902113
8/20/2014,479.6532415
8/21/2014,468.8196166
8/22/2014,468.8275437
8/23/2014,482.3151971
8/24/2014,474.5158031
8/25/2014,471.2209158
8/26/2014,476.163078
8/27/2014,477.3381248
8/28/2014,474.9949453
8/29/2014,468.470418
8/30/2014,454.4243279
8/31/2014,431.013129
9/1/2014,401.4158121
9/2/2014,413.0001849
9/3/2014,403.0338641
