"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"199","USD",7700,1528252540,7557.65830560173,7659,441.9544214,7659.9,7435.1,88565,7659.9,7557.65830560173,"cexUSD",3340140.50359112
"200","XRP",NA,1468926988,NA,103600.64,0,104931.794,NA,88389,103842.161,NA,"krakenXRP",0
"201","NMC",NA,1463947644,NA,1186.11298,0,1271.46,NA,88389,1271.46148,NA,"krakenNMC",0
"202","KRW",NA,1409378987,NA,495000,0,545000,NA,88389,525142,NA,"krakenKRW",0
"203","USD",NA,1414595722,NA,290,0,450,NA,88389,303.132,NA,"justUSD",0
"204","USD",NA,1405487688,NA,242.99900009,0,264.99999999,NA,88389,625,NA,"crytrUSD",0
"205","USD",NA,1454222174,NA,411.4,0,473.99,NA,88389,391.98,NA,"cotrUSD",0
"206","CAD",NA,1469810746,NA,855,0,861.74,NA,88389,861.74,NA,"coinbaseCAD",0
"207","USD",NA,1482410598,NA,614.44,0,614.45,NA,88389,853.48,NA,"bitfinexUSD",0
"208","USD",NA,1476475357,NA,615.03,0,642.8355,NA,88389,629.1547,NA,"bitcurexUSD",0
"209","USD",NA,1481745299,NA,778.59,0,782,NA,88389,782.324888,NA,"exmoUSD",0
"210","RUB",NA,1481745078,NA,47468.0010101,0,47619.9989899,NA,88389,47435.0010101,NA,"exmoRUB",0
"211","EUR",NA,1481745079,NA,736.186,0,739.979,NA,88389,737.571,NA,"exmoEUR",0
"212","EUR",6523.9,1528252275,6427.29620365682,6484.1,41.67505263,6512.8,6304.8,88566,6513.2,6427.29620365682,"cexEUR",267857.907555997
"213","RUB",458277.4,1528243892,441751.070735671,443326.4,4.34812236,445000,435000.1,88566,437452.5,441751.070735671,"cexRUB",1920787.70821971
"214","USD",7777.91,1528252512,7425.10521957981,7411,2257.4024,7667.53,7011.4,88566,7512.05,7425.10521957981,"coinsbankUSD",16761450.342932
"215","EUR",6792.67,1528252450,6340.68646345039,6278.93,1728.1621,6548.51,6001.84,88566,6411.3,6340.68646345039,"coinsbankEUR",10957734.034118
"216","GBP",5926.62,1528252515,5616.82462284906,5500,1024.3538,6000,5548.24,88566,5682.16,5616.82462284906,"coinsbankGBP",5753615.646349
"217","RUB",73.71235,1528252518,72.6175184162101,0.01354517,39882.788,0.01391545,71.70014,88566,72.88573,72.6175184162095,"coinsbankRUB",2896189.09207978
